ID,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
2,2020,MI,FT,Business Data Analyst,95000,USD,95000,US,0,US,M
3,2020,EN,FT,Data Engineer,1000000,INR,13493,IN,100,IN,L
4,2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
5,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
6,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
7,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
8,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
9,2020,MI,FT,Data Engineer,51999,EUR,59303,DE,100,DE,S
10,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
11,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
12,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
13,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
14,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
15,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
16,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
17,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
18,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
19,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
20,2020,EX,FT,Data Engineer,70000,EUR,79833,ES,50,ES,L
21,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
22,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
23,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
24,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
25,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
26,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L
27,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
28,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
29,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
30,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S
31,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L
32,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
33,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
34,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
35,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M
36,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
37,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
38,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L
39,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
40,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L
41,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
42,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S
43,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
44,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
45,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
46,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
47,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L
48,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
49,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
50,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S
51,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
52,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
53,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
54,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L
55,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
56,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
57,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
58,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
59,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
60,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
61,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
62,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L
63,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
64,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M
65,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
66,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
67,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
68,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
69,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
70,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
71,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
72,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
73,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
74,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
75,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
76,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
77,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
78,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M
79,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
80,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
81,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L
82,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
83,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L
84,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
85,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S
86,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
87,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
88,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
89,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
90,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L
91,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
92,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
93,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S
94,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
95,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
96,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M
97,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
98,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L
99,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
100,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
101,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
102,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
103,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S
104,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
105,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
106,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S
107,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
108,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
109,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
110,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
111,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
112,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
113,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
114,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
115,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
116,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
117,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L
118,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
119,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
120,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
121,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
